statement_id,ocorrencias,locais
BH-IHF-2026-R08-001,2,"[{""arquivo"": ""Regras 1–18.md"", ""linha"": 752, ""sentenca"": ""Um Atleta pode_usar braços para bloquear a Bola.""}, {""arquivo"": ""Regras 1–18.md"", ""linha"": 897, ""sentenca"": ""Um Atleta pode_usar braços para bloquear a Bola.""}]"
BH-IHF-2026-R08-002,2,"[{""arquivo"": ""Regras 1–18.md"", ""linha"": 753, ""sentenca"": ""Um Atleta pode_usar mãos para bloquear a Bola.""}, {""arquivo"": ""Regras 1–18.md"", ""linha"": 898, ""sentenca"": ""Um Atleta pode_usar mãos para bloquear a Bola.""}]"
BH-IHF-2026-R08-003,2,"[{""arquivo"": ""Regras 1–18.md"", ""linha"": 754, ""sentenca"": ""Um Atleta pode_usar braços para ganhar posse da Bola.""}, {""arquivo"": ""Regras 1–18.md"", ""linha"": 899, ""sentenca"": ""Um Atleta pode_usar braços para ganhar Posse da Bola.""}]"
BH-IHF-2026-R08-004,2,"[{""arquivo"": ""Regras 1–18.md"", ""linha"": 755, ""sentenca"": ""Um Atleta pode_usar mãos para ganhar posse da Bola.""}, {""arquivo"": ""Regras 1–18.md"", ""linha"": 900, ""sentenca"": ""Um Atleta pode_usar mãos para ganhar Posse da Bola.""}]"
BH-IHF-2026-R08-005,2,"[{""arquivo"": ""Regras 1–18.md"", ""linha"": 756, ""sentenca"": ""Um Atleta pode_usar mão aberta para jogar a Bola para longe do Adversário.""}, {""arquivo"": ""Regras 1–18.md"", ""linha"": 901, ""sentenca"": ""Um Atleta pode_usar mão aberta para afastar a Bola do Adversário.""}]"
BH-IHF-2026-R08-006,2,"[{""arquivo"": ""Regras 1–18.md"", ""linha"": 757, ""sentenca"": ""Um Atleta pode_usar corpo para obstruir Adversário.""}, {""arquivo"": ""Regras 1–18.md"", ""linha"": 902, ""sentenca"": ""Um Atleta pode_usar o corpo para obstruir Adversário.""}]"
BH-IHF-2026-R08-007,2,"[{""arquivo"": ""Regras 1–18.md"", ""linha"": 758, ""sentenca"": ""Um Atleta pode_usar corpo para obstruir Adversário sem Posse da Bola.""}, {""arquivo"": ""Regras 1–18.md"", ""linha"": 903, ""sentenca"": ""Um Atleta pode_obstruir Adversário sem Posse da Bola.""}]"
BH-IHF-2026-R08-008,2,"[{""arquivo"": ""Regras 1–18.md"", ""linha"": 759, ""sentenca"": ""Um Atleta pode_fazer contato corporal com Adversário quando está de frente para o Adversário.""}, {""arquivo"": ""Regras 1–18.md"", ""linha"": 904, ""sentenca"": ""Um Atleta pode_fazer Contato Corporal com Adversário quando está de frente para o Adversário.""}]"
BH-IHF-2026-R08-009,2,"[{""arquivo"": ""Regras 1–18.md"", ""linha"": 760, ""sentenca"": ""Um Atleta pode_fazer contato corporal com Adversário com braços flexionados.""}, {""arquivo"": ""Regras 1–18.md"", ""linha"": 905, ""sentenca"": ""Um Atleta pode_fazer Contato Corporal com Adversário quando usa braços flexionados.""}]"
BH-IHF-2026-R08-010,2,"[{""arquivo"": ""Regras 1–18.md"", ""linha"": 761, ""sentenca"": ""Um Atleta pode_manter contato corporal regulamentar para monitorar Adversário.""}, {""arquivo"": ""Regras 1–18.md"", ""linha"": 906, ""sentenca"": ""Um Atleta pode_manter Contato Corporal para monitorar Adversário.""}]"
BH-IHF-2026-R08-011,2,"[{""arquivo"": ""Regras 1–18.md"", ""linha"": 762, ""sentenca"": ""Um Atleta pode_manter contato corporal regulamentar para acompanhar Adversário.""}, {""arquivo"": ""Regras 1–18.md"", ""linha"": 907, ""sentenca"": ""Um Atleta pode_manter Contato Corporal para acompanhar Adversário.""}]"
BH-IHF-2026-R08-012,2,"[{""arquivo"": ""Regras 1–18.md"", ""linha"": 765, ""sentenca"": ""Um Atleta não_pode_puxar a Bola das mãos de um Adversário.""}, {""arquivo"": ""Regras 1–18.md"", ""linha"": 910, ""sentenca"": ""Um Atleta não_pode_puxar a Bola das mãos do Adversário.""}]"
BH-IHF-2026-R08-013,2,"[{""arquivo"": ""Regras 1–18.md"", ""linha"": 766, ""sentenca"": ""Um Atleta não_pode_bater a Bola para fora das mãos de um Adversário.""}, {""arquivo"": ""Regras 1–18.md"", ""linha"": 911, ""sentenca"": ""Um Atleta não_pode_bater a Bola para fora das mãos do Adversário.""}]"
BH-IHF-2026-R08-014,2,"[{""arquivo"": ""Regras 1–18.md"", ""linha"": 767, ""sentenca"": ""Um Atleta não_pode_bloquear Adversário com braços.""}, {""arquivo"": ""Regras 1–18.md"", ""linha"": 912, ""sentenca"": ""Um Atleta não_pode_bloquear Adversário com braços.""}]"
BH-IHF-2026-R08-015,2,"[{""arquivo"": ""Regras 1–18.md"", ""linha"": 768, ""sentenca"": ""Um Atleta não_pode_bloquear Adversário com mãos.""}, {""arquivo"": ""Regras 1–18.md"", ""linha"": 913, ""sentenca"": ""Um Atleta não_pode_bloquear Adversário com mãos.""}]"
BH-IHF-2026-R08-016,2,"[{""arquivo"": ""Regras 1–18.md"", ""linha"": 769, ""sentenca"": ""Um Atleta não_pode_bloquear Adversário com pernas.""}, {""arquivo"": ""Regras 1–18.md"", ""linha"": 914, ""sentenca"": ""Um Atleta não_pode_bloquear Adversário com pernas.""}]"
BH-IHF-2026-R08-017,2,"[{""arquivo"": ""Regras 1–18.md"", ""linha"": 770, ""sentenca"": ""Um Atleta não_pode_forçar Adversário para longe com braços.""}, {""arquivo"": ""Regras 1–18.md"", ""linha"": 915, ""sentenca"": ""Um Atleta não_pode_forçar Adversário para longe com braços.""}]"
BH-IHF-2026-R08-018,2,"[{""arquivo"": ""Regras 1–18.md"", ""linha"": 771, ""sentenca"": ""Um Atleta não_pode_forçar Adversário para longe com mãos.""}, {""arquivo"": ""Regras 1–18.md"", ""linha"": 916, ""sentenca"": ""Um Atleta não_pode_forçar Adversário para longe com mãos.""}]"
BH-IHF-2026-R08-019,2,"[{""arquivo"": ""Regras 1–18.md"", ""linha"": 772, ""sentenca"": ""Um Atleta não_pode_forçar Adversário para longe com pernas.""}, {""arquivo"": ""Regras 1–18.md"", ""linha"": 917, ""sentenca"": ""Um Atleta não_pode_forçar Adversário para longe com pernas.""}]"
BH-IHF-2026-R08-020,2,"[{""arquivo"": ""Regras 1–18.md"", ""linha"": 773, ""sentenca"": ""Um Atleta não_pode_restringir Adversário.""}, {""arquivo"": ""Regras 1–18.md"", ""linha"": 918, ""sentenca"": ""Um Atleta não_pode_restringir Adversário.""}]"
BH-IHF-2026-R08-021,2,"[{""arquivo"": ""Regras 1–18.md"", ""linha"": 774, ""sentenca"": ""Um Atleta não_pode_segurar Adversário.""}, {""arquivo"": ""Regras 1–18.md"", ""linha"": 919, ""sentenca"": ""Um Atleta não_pode_segurar Adversário.""}]"
BH-IHF-2026-R08-022,2,"[{""arquivo"": ""Regras 1–18.md"", ""linha"": 775, ""sentenca"": ""Um Atleta não_pode_empurrar Adversário.""}, {""arquivo"": ""Regras 1–18.md"", ""linha"": 920, ""sentenca"": ""Um Atleta não_pode_empurrar Adversário.""}]"
BH-IHF-2026-R08-023,2,"[{""arquivo"": ""Regras 1–18.md"", ""linha"": 776, ""sentenca"": ""Um Atleta não_pode_correr contra Adversário.""}, {""arquivo"": ""Regras 1–18.md"", ""linha"": 921, ""sentenca"": ""Um Atleta não_pode_correr contra Adversário.""}]"
BH-IHF-2026-R08-024,2,"[{""arquivo"": ""Regras 1–18.md"", ""linha"": 777, ""sentenca"": ""Um Atleta não_pode_saltar contra Adversário.""}, {""arquivo"": ""Regras 1–18.md"", ""linha"": 922, ""sentenca"": ""Um Atleta não_pode_saltar contra Adversário.""}]"
BH-IHF-2026-R08-025,2,"[{""arquivo"": ""Regras 1–18.md"", ""linha"": 778, ""sentenca"": ""Um Atleta não_pode_interferir com Adversário em desacordo com as Regras.""}, {""arquivo"": ""Regras 1–18.md"", ""linha"": 923, ""sentenca"": ""Um Atleta não_pode_interferir com Adversário em contravenção às regras.""}]"
BH-IHF-2026-R08-026,2,"[{""arquivo"": ""Regras 1–18.md"", ""linha"": 779, ""sentenca"": ""Um Atleta não_pode_impedir Adversário em desacordo com as Regras.""}, {""arquivo"": ""Regras 1–18.md"", ""linha"": 924, ""sentenca"": ""Um Atleta não_pode_impedir Adversário em contravenção às regras.""}]"
BH-IHF-2026-R08-027,2,"[{""arquivo"": ""Regras 1–18.md"", ""linha"": 780, ""sentenca"": ""Um Atleta não_pode_colocar Adversário em perigo em desacordo com as Regras.""}, {""arquivo"": ""Regras 1–18.md"", ""linha"": 925, ""sentenca"": ""Um Atleta não_pode_colocar Adversário em perigo em contravenção às regras.""}]"
BH-IHF-2026-R08-028,2,"[{""arquivo"": ""Regras 1–18.md"", ""linha"": 781, ""sentenca"": ""Uma Ação Proibida pode_ocorrer contra Adversário com Bola.""}, {""arquivo"": ""Regras 1–18.md"", ""linha"": 926, ""sentenca"": ""A proibição de interferir aplica-se a Adversário com Bola.""}]"
BH-IHF-2026-R08-029,2,"[{""arquivo"": ""Regras 1–18.md"", ""linha"": 782, ""sentenca"": ""Uma Ação Proibida pode_ocorrer contra Adversário sem Bola.""}, {""arquivo"": ""Regras 1–18.md"", ""linha"": 927, ""sentenca"": ""A proibição de interferir aplica-se a Adversário sem Bola.""}]"
BH-IHF-2026-R08-030,2,"[{""arquivo"": ""Regras 1–18.md"", ""linha"": 785, ""sentenca"": ""Se uma Violação da Regra 8:2 dirige-se principalmente ao Adversário e não à Bola, então a Violação deve_ser_punida progressivamente.""}, {""arquivo"": ""Regras 1–18.md"", ""linha"": 928, ""sentenca"": ""A proibição de impedir aplica-se a Adversário com Bola.""}]"
BH-IHF-2026-R08-031,2,"[{""arquivo"": ""Regras 1–18.md"", ""linha"": 786, ""sentenca"": ""Se uma Violação da Regra 8:2 dirige-se exclusivamente ao Adversário e não à Bola, então a Violação deve_ser_punida progressivamente.""}, {""arquivo"": ""Regras 1–18.md"", ""linha"": 929, ""sentenca"": ""A proibição de impedir aplica-se a Adversário sem Bola.""}]"
BH-IHF-2026-R08-032,2,"[{""arquivo"": ""Regras 1–18.md"", ""linha"": 787, ""sentenca"": ""Uma Punição Progressiva não_se_limita a Tiro Livre.""}, {""arquivo"": ""Regras 1–18.md"", ""linha"": 930, ""sentenca"": ""A proibição de colocar em perigo aplica-se a Adversário com Bola.""}]"
BH-IHF-2026-R08-033,2,"[{""arquivo"": ""Regras 1–18.md"", ""linha"": 788, ""sentenca"": ""Uma Punição Progressiva não_se_limita a Tiro de 6 Metros.""}, {""arquivo"": ""Regras 1–18.md"", ""linha"": 931, ""sentenca"": ""A proibição de colocar em perigo aplica-se a Adversário sem Bola.""}]"
BH-IHF-2026-R08-034,2,"[{""arquivo"": ""Regras 1–18.md"", ""linha"": 789, ""sentenca"": ""Uma Infração que atende à definição de Punição Progressiva exige Punição Pessoal.""}, {""arquivo"": ""Regras 1–18.md"", ""linha"": 935, ""sentenca"": ""Uma Violação da Regra 8:2 deve_receber Punição Progressiva quando a ação é principalmente direcionada ao Adversário.""}]"
BH-IHF-2026-R08-035,2,"[{""arquivo"": ""Regras 1–18.md"", ""linha"": 792, ""sentenca"": ""Uma Expressão Física incompatível com o espírito de boa esportividade constitui Conduta Antidesportiva.""}, {""arquivo"": ""Regras 1–18.md"", ""linha"": 936, ""sentenca"": ""Uma Violação da Regra 8:2 deve_receber Punição Progressiva quando a ação é exclusivamente direcionada ao Adversário.""}]"
BH-IHF-2026-R08-036,2,"[{""arquivo"": ""Regras 1–18.md"", ""linha"": 793, ""sentenca"": ""Uma Expressão Verbal incompatível com o espírito de boa esportividade constitui Conduta Antidesportiva.""}, {""arquivo"": ""Regras 1–18.md"", ""linha"": 937, ""sentenca"": ""Uma Violação da Regra 8:2 não_deve_receber apenas Tiro Livre quando atende aos critérios de Punição Progressiva.""}]"
BH-IHF-2026-R08-037,2,"[{""arquivo"": ""Regras 1–18.md"", ""linha"": 794, ""sentenca"": ""A Conduta Antidesportiva aplica-se a Atleta.""}, {""arquivo"": ""Regras 1–18.md"", ""linha"": 938, ""sentenca"": ""Uma Violação da Regra 8:2 não_deve_receber apenas Tiro de 6 Metros quando atende aos critérios de Punição Progressiva.""}]"
BH-IHF-2026-R08-038,2,"[{""arquivo"": ""Regras 1–18.md"", ""linha"": 795, ""sentenca"": ""A Conduta Antidesportiva aplica-se a Oficial de Equipe.""}, {""arquivo"": ""Regras 1–18.md"", ""linha"": 939, ""sentenca"": ""Uma Infração com Punição Progressiva exige Punição Pessoal.""}]"
BH-IHF-2026-R08-039,2,"[{""arquivo"": ""Regras 1–18.md"", ""linha"": 796, ""sentenca"": ""A Conduta Antidesportiva pode_ocorrer dentro da Quadra de Jogo.""}, {""arquivo"": ""Regras 1–18.md"", ""linha"": 940, ""sentenca"": ""Uma Expressão Física incompatível com o espírito de esportividade constitui Conduta Antidesportiva.""}]"
BH-IHF-2026-R08-040,2,"[{""arquivo"": ""Regras 1–18.md"", ""linha"": 797, ""sentenca"": ""A Conduta Antidesportiva pode_ocorrer fora da Quadra de Jogo.""}, {""arquivo"": ""Regras 1–18.md"", ""linha"": 941, ""sentenca"": ""Uma Expressão Verbal incompatível com o espírito de esportividade constitui Conduta Antidesportiva.""}]"
BH-IHF-2026-R08-041,2,"[{""arquivo"": ""Regras 1–18.md"", ""linha"": 798, ""sentenca"": ""A Punição Progressiva aplica-se à Conduta Antidesportiva.""}, {""arquivo"": ""Regras 1–18.md"", ""linha"": 942, ""sentenca"": ""A Conduta Antidesportiva aplica-se a Atleta dentro da Quadra de Jogo.""}]"
BH-IHF-2026-R08-042,2,"[{""arquivo"": ""Regras 1–18.md"", ""linha"": 801, ""sentenca"": ""Se um Atleta coloca a saúde do Adversário em perigo durante ataque ao Adversário, então o Atleta deve_receber Desqualificação.""}, {""arquivo"": ""Regras 1–18.md"", ""linha"": 943, ""sentenca"": ""A Conduta Antidesportiva aplica-se a Atleta fora da Quadra de Jogo.""}]"
BH-IHF-2026-R08-043,2,"[{""arquivo"": ""Regras 1–18.md"", ""linha"": 802, ""sentenca"": ""Se um Atleta atinge o braço de arremesso do Adversário pelo lado durante arremesso ou passe, então o Atleta deve_receber Desqualificação.""}, {""arquivo"": ""Regras 1–18.md"", ""linha"": 944, ""sentenca"": ""A Conduta Antidesportiva aplica-se a Oficial de Equipe dentro da Quadra de Jogo.""}]"
BH-IHF-2026-R08-044,2,"[{""arquivo"": ""Regras 1–18.md"", ""linha"": 803, ""sentenca"": ""Se um Atleta puxa para trás o braço de arremesso do Adversário pelo lado durante arremesso ou passe, então o Atleta deve_receber Desqualificação.""}, {""arquivo"": ""Regras 1–18.md"", ""linha"": 945, ""sentenca"": ""A Conduta Antidesportiva aplica-se a Oficial de Equipe fora da Quadra de Jogo.""}]"
BH-IHF-2026-R08-045,2,"[{""arquivo"": ""Regras 1–18.md"", ""linha"": 804, ""sentenca"": ""Se um Atleta atinge o braço de arremesso do Adversário por trás durante arremesso ou passe, então o Atleta deve_receber Desqualificação.""}, {""arquivo"": ""Regras 1–18.md"", ""linha"": 946, ""sentenca"": ""A Conduta Antidesportiva recebe Punição Progressiva.""}]"
BH-IHF-2026-R08-046,2,"[{""arquivo"": ""Regras 1–18.md"", ""linha"": 805, ""sentenca"": ""Se um Atleta puxa para trás o braço de arremesso do Adversário por trás durante arremesso ou passe, então o Atleta deve_receber Desqualificação.""}, {""arquivo"": ""Regras 1–18.md"", ""linha"": 949, ""sentenca"": ""Um Atleta que coloca em perigo a saúde do Adversário durante ataque ao Adversário deve_receber Desqualificação.""}]"
BH-IHF-2026-R08-047,2,"[{""arquivo"": ""Regras 1–18.md"", ""linha"": 806, ""sentenca"": ""Se uma Ação resulta em golpe na cabeça do Adversário, então o Atleta deve_receber Desqualificação.""}, {""arquivo"": ""Regras 1–18.md"", ""linha"": 950, ""sentenca"": ""Um Atleta coloca em perigo a saúde do Adversário quando golpeia o braço de arremesso do Adversário pelo lado.""}]"
BH-IHF-2026-R08-048,2,"[{""arquivo"": ""Regras 1–18.md"", ""linha"": 807, ""sentenca"": ""Se uma Ação resulta em golpe no pescoço do Adversário, então o Atleta deve_receber Desqualificação.""}, {""arquivo"": ""Regras 1–18.md"", ""linha"": 951, ""sentenca"": ""Um Atleta coloca em perigo a saúde do Adversário quando golpeia o braço de arremesso do Adversário por trás.""}]"
BH-IHF-2026-R08-049,2,"[{""arquivo"": ""Regras 1–18.md"", ""linha"": 808, ""sentenca"": ""Se um Atleta atinge deliberadamente o corpo do Adversário com o pé, então o Atleta deve_receber Desqualificação.""}, {""arquivo"": ""Regras 1–18.md"", ""linha"": 952, ""sentenca"": ""Um Atleta coloca em perigo a saúde do Adversário quando puxa para trás o braço de arremesso do Adversário pelo lado.""}]"
BH-IHF-2026-R08-050,2,"[{""arquivo"": ""Regras 1–18.md"", ""linha"": 809, ""sentenca"": ""Se um Atleta atinge deliberadamente o corpo do Adversário com o joelho, então o Atleta deve_receber Desqualificação.""}, {""arquivo"": ""Regras 1–18.md"", ""linha"": 953, ""sentenca"": ""Um Atleta coloca em perigo a saúde do Adversário quando puxa para trás o braço de arremesso do Adversário por trás.""}]"
BH-IHF-2026-R08-051,2,"[{""arquivo"": ""Regras 1–18.md"", ""linha"": 810, ""sentenca"": ""Se um Atleta derruba deliberadamente Adversário com tropeço, então o Atleta deve_receber Desqualificação.""}, {""arquivo"": ""Regras 1–18.md"", ""linha"": 954, ""sentenca"": ""Um Atleta coloca em perigo a saúde do Adversário quando golpeia a cabeça do Adversário.""}]"
BH-IHF-2026-R08-052,2,"[{""arquivo"": ""Regras 1–18.md"", ""linha"": 811, ""sentenca"": ""Se um Atleta empurra Adversário em corrida e o Adversário perde controle do corpo, então o Atleta deve_receber Desqualificação.""}, {""arquivo"": ""Regras 1–18.md"", ""linha"": 955, ""sentenca"": ""Um Atleta coloca em perigo a saúde do Adversário quando golpeia o pescoço do Adversário.""}]"
BH-IHF-2026-R08-053,2,"[{""arquivo"": ""Regras 1–18.md"", ""linha"": 812, ""sentenca"": ""Se um Atleta empurra Adversário em salto e o Adversário perde controle do corpo, então o Atleta deve_receber Desqualificação.""}, {""arquivo"": ""Regras 1–18.md"", ""linha"": 956, ""sentenca"": ""Um Atleta coloca em perigo a saúde do Adversário quando atinge deliberadamente o corpo do Adversário com o pé.""}]"
BH-IHF-2026-R08-054,2,"[{""arquivo"": ""Regras 1–18.md"", ""linha"": 813, ""sentenca"": ""Se um Atleta ataca Adversário de modo que o Adversário perde controle do corpo, então o Atleta deve_receber Desqualificação.""}, {""arquivo"": ""Regras 1–18.md"", ""linha"": 957, ""sentenca"": ""Um Atleta coloca em perigo a saúde do Adversário quando atinge deliberadamente o corpo do Adversário com o joelho.""}]"
