predicado,ocorrencias
possui_comprimento,6
possui_largura,9
possui_material,6
possui_nivelamento,1
possui_planicidade,1
possui_uniformidade,1
não_pode_possuir,6
possui_profundidade,1
possui_granulometria,1
possui_compactação,1
possui_orientação_recomendada,1
não_pode_produzir,5
possui_iluminância,1
não_possui,1
possui_distância,3
é_paralela_a,1
possui_contraste,5
possui_cor,6
possui_flexibilidade,1
possui_resistência,1
possui_altura_interna,1
possui_largura_interna,1
possui_diâmetro_externo,1
possui_profundidade_superior,1
possui_profundidade_inferior,1
possui_tipo,1
possui_altura,3
possui_espessura,1
possui_fixação,3
não_pode_permitir,2
não_pode_interferir_com,1
possui_tensão,1
possui_capacidade,2
permite_visibilidade,1
entra_na,12
sai_da,2
pode_sair_da,6
pode_aguardar,2
REGIME_2026_07_01,8
não_trocam,2
inicia_com,4
possui_resultado,1
possui_duração,4
EMPATE_DE_PERÍODOS,2
termina_com,1
pode_terminar_com,1
possui_configuração_recomendada,1
recebe_punição,4
deve_ser_repetido,6
permanece_sujeito_a,1
não_pode_ser_alterado,1
pode_produzir,4
mantém_status,1
possui_direito_a,1
pode_solicitar,1
não_pode_ser_concedido,3
deve_ser_concedido,13
pode_consultar,1
deve_possuir,3
pode_caracterizar,10
possui_forma,1
possui_superfície,1
possui_peso,4
possui_circunferência,4
pode_utilizar,1
MENOR_QUE_BOLA_ADULTA,1
possui_disponibilidade,1
possui_objetivo,1
pode_possuir,4
deve_constar,1
pode_alternar,1
não_pode_ser_substituído,1
pode_comunicar_com,2
não_pode_entrar_na,3
podem_autorizar,1
não_pode_fornecer,1
não_pode_abordar,2
deve_ser_distinguível,1
possui_cor_sólida,1
COR_CLARA_E_BRILHANTE,1
possui_dimensão_mínima,1
pode_usar,24
não_pode_usar,15
possui_cor_recomendada,2
possui_responsabilidade,3
não_pode_participar,2
não_pode_retornar,4
pode_entrar_na,3
não_precisa_notificar,1
só_pode_entrar_na,1
não_obedece,1
pode_tocar,1
pode_mover-se,1
não_está_sujeito,1
não_pode_retardar,1
pode_participar,1
fica_sujeito,1
não_controlou,1
não_pode_colocar,5
não_pode_sair_da,1
não_pode_levar,2
não_pode_reentrar_na,1
pertence_ao,1
pode_ser_jogada,4
não_pode_ser_jogada,4
termina_na,1
permanece_em_jogo,1
pode_arremessar,2
pode_receber,5
pode_parar,2
pode_empurrar,1
pode_golpear,2
pode_jogar,9
pode_mergulhar,2
pode_mover,1
pode_segurar,3
não_pode_pegar,1
pode_dar,3
conta_como,2
pode_quicar,4
pode_driblar,1
pode_rolar,1
pode_pegar,2
deve_ser_jogada,2
não_recebe_punição,1
não_controla,2
não_pode_manter,2
não_pode_atrasar,3
podem_apitar,2
pode_fazer,4
pode_manter,4
não_pode_puxar,2
não_pode_bater,2
não_pode_bloquear,6
não_pode_forçar,6
não_pode_restringir,2
não_pode_segurar,2
não_pode_empurrar,2
não_pode_correr,2
não_pode_saltar,2
não_pode_interferir,2
não_pode_impedir,2
pode_ocorrer,11
deve_ser_punida,15
não_se_limita,2
deve_receber,30
não_impede,1
deve_ser_reportada,6
pode_atingir,7
não_é,6
devem_submeter,6
pode_não_estar,2
pode_obstruir,1
não_deve_receber,2
não_depende,1
pode_ser,17
deve_ser_relatada,6
é_considerado,3
pode_servir,4
pode_cometer,2
é_marcado,1
deve_ser_validado,1
é_concedido,11
pode_resultar,2
não_pode_receber,2
deve_ser_tratado,2
não_pode_ser_anulado,1
devem_deixar_claro,1
não_exige,1
deve_ser_decidida,1
é_decidida,1
pode_executar,2
podem_permitir,1
devem_ser_executados,1
podem_avançar,1
deve_permanecer,2
deve_arremessar,1
pode_passar,1
deve_tentar,1
pode_retornar,1
devem_permanecer,8
deve_retornar,2
começa_com,2
é_executado,18
pode_ficar,1
podem_posicionar-se,1
devem_posicionar-se,2
deve_posicionar-se,1
não_podem_agarrar,1
possui_exceção,8
deve_manter,2
não_pode_quicar,2
é_considerada,1
podem_ficar,1
não_podem_tocar,1
deve_ser_executado,11
só_pode_sair_da,1
reiniciam_com,2
devem_permitir,2
não_deveriam_marcar,1
não_deveriam_intervir,2
podem_interromper,1
deve_ser_adiada,1
deve_ser_interrompida,1
é_interrompida,3
não_se_aplica,1
deve_largar,1
deve_colocar,1
não_podem_posicionar-se,1
nunca_pode_ser_executado,1
deve_ser_movido,1
possui_definição_em,1
não_há,3
devem_adiar,2
devem_conceder,1
não_pode_cruzar,1
Não_é_permitido,1
não_podem_obstruir,1
deve_estar,1
devem_estar,1
deve_ser_corrigida,2
pode_ser_levantado,1
pode_ser_colocado,2
deve_apitar,8
deve_jogar,1
não_pode_ser_entregue,1
não_pode_ser_tocada,1
pode_ser_marcado,1
não_devem_ser_corrigidas,2
devem_ser_corrigidas,1
estão_autorizados,1
deve_ser_suspenso,3
pode_ser_dada,4
devem_ser_punidas,1
deve_ser_dada,26
não_podem_receber,1
pode_permanecer,1
pode_exercer,1
deve_indicar,4
não_pode_substituir,1
é_reiniciado,1
pode_ser_substituído,1
pode_entrar,1
resulta_em,2
é_efetiva,1
é_decisão,1
não_deve_ser_mencionada,1
devem_indicar,1
deve_medir,1
é_válida,1
deve_sair,1
não_pode_ter,1
pode_aumentar,1
deve_ser_explica,1
é_punida,1
deve_ser_aplicada,5
pode_iniciar,1
pode_continuar,1
deve_gerar,1
não_inclui,1
podem_ser_substituídas,3
é_totalmente_responsável,1
deve_ser_marcado,1
devem_ser_marcados,1
devem_ser_concedidos,2
é_dirigida,1
são_assistidos,2
são_responsáveis,5
devem_trocar,1
deve_ser_conduzida,1
devem_punir,2
é_tratada,1
é_obrigatório,3
devem_dar,1
é_reiniciada,3
devem_ser_explicadas,1
são_finais,3
podem_ser_apresentados,1
deve_ser_feito,1
possui_responsabilidade_principal,7
devem_ser_realizadas,1
pode_interromper,2
deve_interromper,4
deve_notificar,1
deve_aguardar,1
devem_corrigir,1
é_responsável,1
deve_parar,1
deve_sinalizar,4
deve_controlar,1
deve_ser_controlado,1
pode_ser_solicitado,1
deve_ocorrer,2
são_permitidas,1
deve_realizar,1
deve_ser_confirmada,1
devem_mostrar,2
deve_ser_dado,1
pode_ser_dado,1
deve_ser_respeitado,1
deve_ser_respeitada,1
podem_receber,2
não_pode_ser,6
podem_decidir,1
podem_considerar,1
devem_equilibrar,1
devem_colocar,1
não_têm_obrigação,1
não_podem_ser_validados,1
têm_objetivo,2
devem_reconhecer,1
devem_julgar,1
podem_ocorrer,3
podem_ser_mais_frequentes,3
deve_ser_mostrado,1
pode_indicar,8
podem_impedir,1
deve_também_dar,1
deixa_de_ser_válido,3
é_exemplo_de,15
deve_ser_tratada,1
devem_considerar,1
não_considera,1
deve_esperar,1
não_pode_causar,1
não_geram,1
podem_ser_guardadas,2
podem_permanecer,2
devem_usar,5
deve_ocupar,1
deve_apoiar,2
devem_apoiar,1
não_pode_iniciar,1
não_pode_continuar,1
têm_direito,3
têm_dever,1
devem_sentar_ou_ajoelhar,2
pode_movimentar-se,4
pode_comunicar-se,1
possui_permissão,1
deve_respeitar,3
podem_movimentar-se,1
não_podem,8
devem_agir,1
deve_informar,1
não_pode,1
devem_aplicar,1
devem_ser_relatados,1
devem_utilizar,2
deve_verificar,2
devem_corresponder,2
deve_ser,19
não_são_permitidas,1
devem_possuir,2
são_exemplos,1
podem_ser,5
não_pode_exceder,1
possui_dimensão_aproximada,1
estão_autorizadas,1
podem_possuir,1
devem_imprimir,1
podem_usar,1
devem_ser,2
devem_seguir,1
possui_responsabilidade_final,1
deve_consultar,1
são_permitidos,2
não_é_afetada,1
não_calcária,1
não_contém,2
possui_diâmetro_de_partícula,6
possui_retenção_em_peneira,6
possuem_diâmetro_de_partícula,1
possuem_retenção_em_peneira,1
deve_permitir,4
pode_operar,1
pode_reduzir,1
possui_nível_mínimo_indicativo_de_iluminação,3
