statement_id,arquivo,linha,sentenca,sujeito,predicado,objeto,predicado_canonico
BH-IHF-2026-R01-001,Regras 1–18.md,23,A Quadra de Jogo é_um Retângulo.,A Quadra de Jogo,é_um,Retângulo,True
BH-IHF-2026-R01-002,Regras 1–18.md,24,A Quadra de Jogo possui_comprimento exatamente 27 metros [número decimal].,A Quadra de Jogo,possui_comprimento,exatamente 27 metros [número decimal],False
BH-IHF-2026-R01-003,Regras 1–18.md,25,A Quadra de Jogo possui_largura exatamente 12 metros [número decimal].,A Quadra de Jogo,possui_largura,exatamente 12 metros [número decimal],False
BH-IHF-2026-R01-004,Regras 1–18.md,26,A Quadra de Jogo possui exatamente uma Área de Jogo [número inteiro].,A Quadra de Jogo,possui,exatamente uma Área de Jogo [número inteiro],True
BH-IHF-2026-R01-005,Regras 1–18.md,27,A Quadra de Jogo possui exatamente duas Áreas de Gol [número inteiro].,A Quadra de Jogo,possui,exatamente duas Áreas de Gol [número inteiro],True
BH-IHF-2026-R01-006,Regras 1–18.md,28,A medição da Quadra de Jogo utiliza a borda externa das Linhas Limítrofes.,A medição da Quadra de Jogo utiliza a borda externa das Linhas Limítrofes,(predicado_não_detectado),,False
BH-IHF-2026-R01-007,Regras 1–18.md,29,A Superfície de Jogo possui_material areia.,A Superfície de Jogo,possui_material,areia,False
BH-IHF-2026-R01-008,Regras 1–18.md,30,A Superfície de Jogo possui_nivelamento REGULAMENTAR.,A Superfície de Jogo,possui_nivelamento,REGULAMENTAR,False
BH-IHF-2026-R01-009,Regras 1–18.md,31,A Superfície de Jogo possui_planicidade REGULAMENTAR.,A Superfície de Jogo,possui_planicidade,REGULAMENTAR,False
BH-IHF-2026-R01-010,Regras 1–18.md,32,A Superfície de Jogo possui_uniformidade REGULAMENTAR.,A Superfície de Jogo,possui_uniformidade,REGULAMENTAR,False
BH-IHF-2026-R01-011,Regras 1–18.md,33,A Superfície de Jogo não_pode_possuir pedra.,A Superfície de Jogo,não_pode_possuir,pedra,False
BH-IHF-2026-R01-012,Regras 1–18.md,34,A Superfície de Jogo não_pode_possuir concha.,A Superfície de Jogo,não_pode_possuir,concha,False
BH-IHF-2026-R01-013,Regras 1–18.md,35,A Superfície de Jogo não_pode_possuir objeto classificado como Risco de Corte.,A Superfície de Jogo,não_pode_possuir,objeto classificado como Risco de Corte,False
BH-IHF-2026-R01-014,Regras 1–18.md,36,A Superfície de Jogo não_pode_possuir objeto classificado como Risco de Lesão.,A Superfície de Jogo,não_pode_possuir,objeto classificado como Risco de Lesão,False
BH-IHF-2026-R01-015,Regras 1–18.md,37,A camada de areia possui_profundidade no mínimo 40 centímetros [número decimal].,A camada de areia,possui_profundidade,no mínimo 40 centímetros [número decimal],False
BH-IHF-2026-R01-016,Regras 1–18.md,38,A areia possui_granulometria fina.,A areia,possui_granulometria,fina,False
BH-IHF-2026-R01-017,Regras 1–18.md,39,A areia possui_compactação BAIXA.,A areia,possui_compactação,BAIXA,False
BH-IHF-2026-R01-018,Regras 1–18.md,40,A Quadra de Jogo possui_orientação_recomendada norte-sul.,A Quadra de Jogo,possui_orientação_recomendada,norte-sul,False
BH-IHF-2026-R01-019,Regras 1–18.md,41,Uma Alteração da Quadra de Jogo não_pode_produzir vantagem para uma Equipe.,Uma Alteração da Quadra de Jogo,não_pode_produzir,vantagem para uma Equipe,False
BH-IHF-2026-R01-020,Regras 1–18.md,42,A Zona de Segurança possui_largura exatamente 3 metros [número decimal].,A Zona de Segurança,possui_largura,exatamente 3 metros [número decimal],False
BH-IHF-2026-R01-021,Regras 1–18.md,43,A Zona de Segurança circunda a Quadra de Jogo.,A Zona de Segurança circunda a Quadra de Jogo,(predicado_não_detectado),,False
BH-IHF-2026-R01-022,Regras 1–18.md,44,A Condição Meteorológica não_pode_possuir estado PERIGO_DE_LESÃO.,A Condição Meteorológica,não_pode_possuir,estado PERIGO_DE_LESÃO,False
BH-IHF-2026-R01-023,Regras 1–18.md,45,A iluminação noturna da Área de Jogo possui_iluminância no mínimo 400 lux [número inteiro].,A iluminação noturna da Área de Jogo,possui_iluminância,no mínimo 400 lux [número inteiro],False
BH-IHF-2026-R01-024,Regras 1–18.md,48,Uma Linha Limítrofe pertence à área delimitada pela Linha Limítrofe.,Uma Linha Limítrofe pertence à área delimitada pela Linha Limítrofe,(predicado_não_detectado),,False
BH-IHF-2026-R01-025,Regras 1–18.md,49,A Quadra de Jogo possui exatamente duas Linhas Laterais [número inteiro].,A Quadra de Jogo,possui,exatamente duas Linhas Laterais [número inteiro],True
BH-IHF-2026-R01-026,Regras 1–18.md,50,A Quadra de Jogo possui exatamente duas Linhas de Gol Externas [número inteiro].,A Quadra de Jogo,possui,exatamente duas Linhas de Gol Externas [número inteiro],True
BH-IHF-2026-R01-027,Regras 1–18.md,51,O espaço entre os Postes da Baliza não_possui Linha de Gol.,O espaço entre os Postes da Baliza,não_possui,Linha de Gol,False
